bucket,state,commodity,market,model_used,RMSE,MAE,Avg_Deviation,Directional_Accuracy,Naive_MAE,Naive_RMSE,MA7_MAE,MA7_RMSE,Improve_MAE_vs_Naive,Improve_RMSE_vs_Naive
Bucket3,Rajasthan,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Sikkim,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Tamil Nadu,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Telangana,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Tripura,Onion,Wholesale,PROPHET,218.25182156551807,162.9396666666668,162.9396666666668,0.13793103448275862,162.9396666666668,218.25182156551807,159.37090476190488,210.04407562421275,0.0,0.0
Bucket3,Uttar Pradesh,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Uttarakhand,Onion,Wholesale,PROPHET,223.35909467342807,167.25933333333342,167.25933333333342,0.1724137931034483,167.25933333333342,223.35909467342807,163.6905714285714,215.07747975482468,0.0,0.0
Bucket3,West Bengal,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Mizoram,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,DNH and DD,Onion,Wholesale,PROPHET,217.7866893698206,162.9946666666668,162.9946666666668,0.06896551724137931,162.9946666666668,217.7866893698206,163.50780952380956,218.94465121683734,0.0,0.0
Bucket3,Andaman and Nicobar,Potato,Retail,PROPHET,0.7715655081283346,0.702666666666668,0.702666666666668,0.1724137931034483,0.702666666666668,0.7715655081283346,0.580476190476187,0.649286473885036,0.0,0.0
Bucket3,Andhra Pradesh,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Arunachal pradesh,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Assam,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Bihar,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Chandigarh,Potato,Retail,PROPHET,0.8911509411990771,0.7943333333333342,0.7943333333333342,0.1724137931034483,0.7943333333333342,0.8911509411990771,0.6015714285714282,0.7035465550353011,0.0,0.0
Bucket3,Chhattisgarh,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Delhi,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,DNH and DD,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Goa,Potato,Retail,PROPHET,0.6989468267805992,0.6160000000000015,0.6160000000000015,0.3448275862068966,0.6160000000000015,0.6989468267805992,0.5707619047619061,0.64932314314037,0.0,0.0
Bucket3,Gujarat,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Haryana,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Himachal Pradesh,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Jammu and Kashmir,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
Bucket3,Jharkhand,Potato,Retail,PROPHET,0.8460614634883222,0.7533333333333345,0.7533333333333345,0.06896551724137931,0.7533333333333345,0.8460614634883222,0.5605714285714285,0.6592196995273257,0.0,0.0
