bucket,state,commodity,market,state_score,stability,reliability,margin_strength,MAE,RMSE,Directional_Accuracy,rank_in_group
Bucket2,Madhya Pradesh,Moong Dal,Wholesale,0.1848992373916274,0.947623049690696,0.01513038936487968,-10516.689999999999,65.09215241487291,79.79474056547456,0.4482758620689655,26.0
Bucket2,Maharashtra,Moong Dal,Wholesale,0.18218070708393366,0.947623049690696,0.014981429931517982,-10516.689999999999,65.74930260803721,80.67891772546547,0.3793103448275862,33.0
Bucket2,Manipur,Moong Dal,Wholesale,0.6999998790494297,0.9509015591610819,0.0051887194067707565,0.0,191.7257809884845,232.78482025193443,0.3103448275862069,1.0
Bucket2,Meghalaya,Moong Dal,Wholesale,0.18267128794126922,0.947623049690696,0.015008310870207531,-10516.689999999999,65.62974991976377,80.54129366915276,0.4482758620689655,31.0
Bucket2,Nagaland,Moong Dal,Wholesale,0.26167134631883493,0.9481518908985382,0.015832218464115932,-10516.689999999999,62.162342173746644,76.9184112725016,0.3103448275862069,8.0
Bucket2,Odisha,Moong Dal,Wholesale,0.18392042382980958,0.947623049690696,0.015076756152433056,-10516.689999999999,65.32726495603778,79.9388280094566,0.5517241379310345,29.0
Bucket2,Puducherry,Moong Dal,Wholesale,0.26453046292600496,0.9477213418430855,0.018842291935229148,-10516.689999999999,52.072099903638325,62.88569364291097,0.3103448275862069,7.0
Bucket2,Punjab,Moong Dal,Wholesale,0.18322615251575497,0.947623049690696,0.015038714177602693,-10516.689999999999,65.4950465970894,80.36479114528295,0.6206896551724138,30.0
Bucket2,Rajasthan,Moong Dal,Wholesale,0.18683662333971368,0.947623049690696,0.015236546692687689,-10516.689999999999,64.63166970635933,79.45162982715874,0.4482758620689655,22.0
Bucket2,Sikkim,Moong Dal,Wholesale,0.2062846877762012,0.9479979583362994,0.013817525177986626,-10516.689999999999,71.3718601644489,87.81925009647904,0.4827586206896552,12.0
Bucket2,Tamil Nadu,Moong Dal,Wholesale,0.19450187168906702,0.947623049690696,0.015656557110620098,-10516.689999999999,62.871002605143865,77.23724849101026,0.5862068965517241,15.0
